CFP,COD_SAP,UNIDADE,CFP_LOCALIDADE,MUNICÍPIO,CÓDIGO_SIAFI_MUNICÍPIO,CÓDIGO_IBGE_MUNICÍPIO,LONGITUDE,LATITUDE,COD_MICRORREGIÃO,NOME_MICRORREGIÃO,COD_MESORREGIÃO,NOME_MESORREGIÃO,REGIÃO ADMINISTRATIVA,REGIÃO DE GOVERNO,REGIÃO METROPOLIATANA
04.02,2019,Escola SENAI GASPAR RICARDO JÚNIOR,402 - SOROCABA,SARAPUÍ,7123,3551108,"-47,82719599","-23,64150657",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Itapetininga,de Sorocaba
7.93,2083,Centro de Treinamento SENAI  - GERALDO VIEIRA MARTINS,793 - SANTA CRUZ DO RIO PARDO,SARUTAIÁ,7125,3551207,"-49,48312863","-23,27449593",35040,Ourinhos,3510,Assis,de Itapeva,de Itapeva,-
8.50,2077,Escola SENAI DE VOTUPORANGA,850 - VOTUPORANGA,SEBASTIANÓPOLIS DO SUL,7127,3551306,"-49,9209225","-20,6568805",35003,Votuporanga,3501,São José do Rio Preto,de São José do Rio Preto,de Votuporanga,-
06.02,2055,Escola SENAI ENGº. OCTÁVIO MARCONDES FERRAZ,602 - RIBEIRÃO PRETO,SERRA AZUL,7129,3551405,"-47,56324992","-21,31028767",35014,Ribeirão Preto,3502,Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto
05.08,2023,Escola SENAI LUIZ SCAVONE,508 - ITATIBA,SERRA NEGRA,7133,3551603,"-46,70179138","-22,61269352",35048,Bragança Paulista,3512,Macro Metropolitana Paulista,de Campinas,de Bragança Paulista,-
06.02,2055,Escola SENAI ENGº. OCTÁVIO MARCONDES FERRAZ,602 - RIBEIRÃO PRETO,SERRANA,7131,3551504,"-47,5977621","-21,20947799",35014,Ribeirão Preto,3502,Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto
6.61,2067,Escola SENAI ETTORE ZANINI,661 - SERTÃOZINHO,SERTÃOZINHO,7135,3551702,"-47,99114843","-21,13702151",35014,Ribeirão Preto,3502,Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto
2.60,2111,Escola SENAI DE REGISTRO,260 - REGISTRO,SETE BARRAS,7137,3551801,"-47,92721696","-24,38860378",35055,Registro,3514,Litoral Sul Paulista,de Registro,de Registro,-
08.01,2030,Escola SENAI ANTONIO DEVISATE,801 - SÃO JOSÉ DO RIO PRETO,SEVERÍNIA,7139,3551900,"-48,80153398","-20,80938579",35004,São José do Rio Preto,3501,São José do Rio Preto,de Barretos,de Barretos,-
3.90,2071,Escola SENAI DE CRUZEIRO,390 - CRUZEIRO,SILVEIRAS,7141,3552007,"-44,8489961","-22,66142435",35051,Guaratinguetá,3513,Vale do Paraíba Paulista,de São José dos Campos,de Cruzeiro,do Vale do Paraíba e Litoral Norte
05.08,2023,Escola SENAI LUIZ SCAVONE,508 - ITATIBA,SOCORRO,7143,3552106,"-46,52921159","-22,59202995",35048,Bragança Paulista,3512,Macro Metropolitana Paulista,de Campinas,de Bragança Paulista,-
04.02,2019,Escola SENAI GASPAR RICARDO JÚNIOR,402 - SOROCABA,SOROCABA,7145,3552205,"-47,45785325","-23,499323",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Sorocaba,de Sorocaba
09.01,2048,Escola SENAI DUQUE DE CAXIAS,901 - ARAÇATUBA,SUD MENNUCCI,7147,3552304,"-50,92052656","-20,6929435",35017,Araçatuba,3503,Araçatuba,de Araçatuba,de Andradina,-
5.12,2086,Escola SENAI CELSO CHARURI - UNIDADE SUMARÉ,512 - SUMARÉ,SUMARÉ,7149,3552403,"-47,26580273","-22,822145",35032,Campinas,3507,Campinas,de Campinas,de Campinas,de Campinas
09.01,2048,Escola SENAI DUQUE DE CAXIAS,901 - ARAÇATUBA,SUZANÁPOLIS,2945,3552551,"-51,02822259","-20,50334427",35017,Araçatuba,3503,Araçatuba,de Araçatuba,de Andradina,-
1.24,2044,Escola SENAI LUÍS EULALIO DE BUENO VIDIGAL FILHO,124 - SUZANO,SUZANO,7151,3552502,"-46,30781047","-23,5368275",35062,Mogi das Cruzes,3515,Metropolitana de São Paulo,-,-,de São Paulo
08.01,2030,Escola SENAI ANTONIO DEVISATE,801 - SÃO JOSÉ DO RIO PRETO,TABAPUÃ,7153,3552601,"-49,03262141","-20,95760068",35004,São José do Rio Preto,3501,São José do Rio Preto,de São José do Rio Preto,de Catanduva,-
6.62,2069,Escola SENAI OSCAR LUCIO BALDAN,662 - MATÃO,TABATINGA,7155,3552700,"-48,68678761","-21,7325145",35024,Araraquara,3505,Araraquara,Central,de Araraquara,-
1.19,2064,Escola SENAI NADIR DIAS DE FIGUEIREDO,119 - OSASCO,TABOÃO DA SERRA,7157,3552809,"-46,78578003","-23,6233285",35057,Osasco,3515,Metropolitana de São Paulo,-,-,de São Paulo
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,TACIBA,7159,3552908,"-51,28477342","-22,38826626",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Presidente Prudente,-
7.94,2092,Centro de Treinamento SENAI - OURINHOS,794 - OURINHOS,TAGUAÍ,7161,3553005,"-49,40577112","-23,44981412",35040,Ourinhos,3510,Assis,de Itapeva,de Itapeva,-
6.61,2067,Escola SENAI ETTORE ZANINI,661 - SERTÃOZINHO,TAIAÇU,7163,3553104,"-48,51195522","-21,14673627",35014,Ribeirão Preto,3502,Ribeirão Preto,de Barretos,de Barretos,-
6.61,2067,Escola SENAI ETTORE ZANINI,661 - SERTÃOZINHO,TAIÚVA,7165,3553203,"-48,45393534","-21,12955629",35014,Ribeirão Preto,3502,Ribeirão Preto,de Barretos,de Barretos,de Ribeirão Preto
5.92,2085,Centro de Treinamento SENAI  - SÃO JOÃO DA BOA VISTA,592 - SÃO JOÃO DA BOA VISTA,TAMBAÚ,7167,3553302,"-47,27161551","-21,703033",35030,São João da Boa Vista,3507,Campinas,de Campinas,de São João da Boa Vista,de Ribeirão Preto
8.90,2096,Centro de Treinamento SENAI - MIRASSOL,890 - MIRASSOL,TANABI,7169,3553401,"-49,6488202","-20,62511214",35004,São José do Rio Preto,3501,São José do Rio Preto,de São José do Rio Preto,de São José do Rio Preto,-
04.02,2019,Escola SENAI GASPAR RICARDO JÚNIOR,402 - SOROCABA,TAPIRAÍ,7171,3553500,"-47,50528824","-23,97314827",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Sorocaba,de Sorocaba
5.92,2085,Centro de Treinamento SENAI  - SÃO JOÃO DA BOA VISTA,592 - SÃO JOÃO DA BOA VISTA,TAPIRATIBA,7173,3553609,"-46,74551521","-21,4718854",35030,São João da Boa Vista,3507,Campinas,de Campinas,de São João da Boa Vista,-
6.61,2067,Escola SENAI ETTORE ZANINI,661 - SERTÃOZINHO,TAQUARAL,824,3553658,"-48,40865492","-21,0726085",35014,Ribeirão Preto,3502,Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto
6.62,2069,Escola SENAI OSCAR LUCIO BALDAN,662 - MATÃO,TAQUARITINGA,7175,3553708,"-48,50674218","-21,410008",35024,Araraquara,3505,Araraquara,Central,de Araraquara,-
